OMI;OME;VAT;CAP;AEA;ATE;MRE;ELA;ORG;PCR;ARE;TAE;RES
4.50;4.50;5.17;3.00;4.75;2.60;3.20;4.00;3.00;5.00;5.00;4.00;4.60
4.50;4.00;4.83;4.67;4.50;5.00;5.20;6.00;6.67;7.00;3.80;5.00;4.60
7.00;3.50;6.17;6.33;6.75;3.40;6.80;7.00;6.33;7.00;6.60;7.00;6.40
5.50;5.50;6.17;4.67;5.50;4.00;5.20;6.50;4.67;7.00;5.00;6.00;5.80
6.00;7.00;7.00;5.00;7.00;3.80;4.60;7.00;6.33;7.00;6.40;5.00;7.00
6.50;5.50;7.00;5.67;6.75;4.80;7.00;7.00;5.33;7.00;6.40;7.00;7.00
7.00;3.00;5.50;2.00;5.50;5.00;4.20;6.00;6.33;7.00;5.80;3.00;5.80
3.00;1.00;4.67;2.00;5.50;4.20;5.80;7.00;6.67;7.00;4.60;7.00;6.60
7.00;6.00;6.33;4.67;6.75;5.60;3.60;5.00;7.00;7.00;2.20;4.00;4.20
6.00;7.00;7.00;7.00;7.00;5.00;5.80;6.50;5.67;7.00;6.20;7.00;6.00
7.00;5.50;6.67;5.00;6.25;6.00;5.20;7.00;6.67;7.00;7.00;1.00;5.60
6.00;3.00;6.17;1.00;6.00;2.80;4.00;6.00;5.67;7.00;4.40;5.00;5.80
5.00;5.00;6.67;4.67;6.75;3.40;3.80;6.00;3.33;2.00;5.40;4.00;5.60
5.00;2.50;7.00;5.00;7.00;3.80;3.00;7.00;5.33;7.00;5.60;2.00;6.80
6.00;6.50;6.83;5.00;7.00;6.00;5.80;7.00;7.00;7.00;6.60;7.00;7.00
5.00;5.50;6.17;4.67;6.25;3.00;3.00;7.00;6.00;2.00;4.40;1.00;5.20
5.50;5.50;4.83;4.00;4.50;4.40;3.80;5.50;4.67;6.00;4.40;2.00;5.40
7.00;7.00;7.00;6.00;7.00;2.80;7.00;7.00;5.33;7.00;6.00;7.00;5.60
7.00;6.00;7.00;4.00;6.75;3.40;6.40;7.00;5.33;7.00;5.80;6.00;6.60
6.50;5.50;5.17;5.67;6.00;4.20;5.20;5.00;5.00;5.00;4.60;5.00;4.60
2.50;2.50;4.67;2.00;5.00;2.80;3.40;6.00;2.67;4.00;2.80;1.00;3.80
5.50;5.00;6.00;6.00;5.75;5.40;5.60;6.50;6.00;6.00;4.00;6.00;4.80
5.50;5.50;6.67;5.33;7.00;3.00;3.80;6.50;6.00;7.00;5.40;2.00;4.80
6.50;5.00;6.67;4.33;6.00;4.80;6.20;6.50;5.00;7.00;6.80;7.00;6.60
5.50;4.50;5.83;5.33;5.75;5.40;4.80;5.50;4.67;5.00;4.60;4.00;4.60
7.00;6.50;6.33;5.67;7.00;2.80;5.60;6.00;5.33;7.00;5.80;6.00;6.60
5.50;4.00;5.67;5.00;4.75;4.60;5.60;7.00;6.33;6.00;4.00;6.00;5.00
5.00;6.00;6.67;6.00;7.00;3.60;7.00;7.00;5.00;7.00;6.60;7.00;7.00
7.00;4.00;7.00;5.00;7.00;5.00;7.00;7.00;5.67;7.00;5.80;7.00;6.20
5.50;5.50;6.67;5.33;6.75;4.40;6.00;6.00;6.00;5.00;4.60;6.00;5.20
6.50;6.00;7.00;5.33;6.50;5.80;6.00;7.00;6.00;6.00;5.60;6.00;6.20
6.50;6.00;6.83;6.00;6.75;3.00;6.40;7.00;4.67;6.00;6.40;6.00;6.00
6.00;5.50;6.50;5.00;6.00;4.40;3.20;6.50;3.33;5.00;4.60;1.00;5.60
5.00;5.50;7.00;4.67;6.75;6.00;4.60;6.50;4.33;6.00;6.20;5.00;5.20
7.00;5.50;7.00;5.00;7.00;1.60;2.80;7.00;7.00;7.00;5.20;4.00;7.00
4.00;3.50;5.33;3.00;3.75;3.00;4.80;4.00;4.00;2.00;4.80;2.00;3.20
6.50;4.00;6.17;5.33;6.50;2.40;5.40;4.50;2.67;4.00;5.40;7.00;6.80
5.50;5.00;7.00;4.33;6.50;5.00;7.00;7.00;5.67;7.00;6.40;6.00;5.80
7.00;7.00;7.00;6.00;7.00;5.60;7.00;7.00;5.67;7.00;5.80;7.00;7.00
6.50;4.00;5.50;3.67;5.25;2.80;4.80;4.00;3.33;5.00;4.80;6.00;5.80
4.50;4.00;5.83;3.33;4.75;5.80;6.20;7.00;5.33;6.00;5.80;6.00;5.40
5.00;5.50;7.00;5.67;6.50;3.60;4.80;6.50;4.67;6.00;4.60;2.00;5.00
6.50;5.50;6.33;4.33;6.25;3.00;4.60;6.00;5.33;6.00;5.00;4.00;5.20
